500777,Tamilnadu Petroproducts Ltd,TNPETRO,INE148A01019
500780,Zuari Industries Limited,ZUARIIND,INE217A01012
500790,Nestle India Ltd.,NESTLEIND,INE239A01024
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,INE192A01025
500820,Asian Paints Ltd.,ASIANPAINT,INE021A01026
500825,Britannia Industries Ltd.,BRITANNIA,INE216A01030
500830,Colgate-Palmolive (India) Ltd.,COLPAL,INE259A01022
500840,EIH Ltd,EIHOTEL,INE230A01023
500850,Indian Hotels Co. Ltd,INDHOTEL,INE053A01029
500870,Castrol India Ltd,CASTROLIND,INE172A01027
500875,ITC Ltd,ITC,INE154A01025
500877,Apollo Tyres Ltd,APOLLOTYRE,INE438A01022
500878,Ceat Ltd.,CEATLTD,INE482A01020
500890,Modi Rubber Ltd.,MODIRUBBER,INE832A01018
500940,Finolex Industries Ltd.,FINPIPE,INE183A01024
501148,Dalal Street Investments Ltd.,DSINVEST,INE422D01012
501150,Centrum Capital Limited,CENTRUM,INE660C01027
501295,Industrial Investment Trust Ltd.,IITL,INE886A01014
501298,Industrial & Prudential Inv. Co. Lt,INDPRUD,INE620D01011
501301,Tata Investment Corporation Ltd.,TATAINVEST,INE672A01018
501311,Jayabharat Credit Ltd.,JAYBHCR,INE998D01011
501314,PRISMX GLOBAL VENTURES LIMITED,PRISMX,INE286N01028
501343,Motor & General Finance (M.G.F.) Lt,MOTOGENFIN,INE861B01023
501370,Walchand Peoplefirst Limited,WALCHPF,INE695D01021
501391,W.H. Brady & Co. Ltd.,WHBRADY,INE855A01019
501421,TechNVision Ventures Limited,TECHNVISN,INE314H01012
501423,Shaily Engineering Plastics Ltd.,SHAILY,INE151G01028
501425,Bombay Burmah Trading Corpn. Ltd.,BBTC,INE050A01025
501430,Bombay Cycle & Motor Agency Ltd.,BOMBCYC,INE691K01017
501455,Greaves Cotton Ltd.,GREAVESCOT,INE224A01026
501477,Muller & Phipps (India) Ltd.,MULLER,INE003F01015
501622,Amalgamated Electricity Co. Ltd.,AMALGAM,INE492N01022
501700,India Nivesh Limited,INDIANVSH,INE131H01028
501831,Coastal Corporation Limited,COASTCORP,INE377E01016
501833,Chowgule Steamships Ltd.,CHOWGULSTM,INE490A01015
501848,Global Offshore Services Ltd,GLOBOFFS,INE446C01013
502015,ASI INDUSTRIES LIMITED,ASIIL,INE443A01030
502090,Sagar Cements Ltd,SAGCEM,INE229C01021
502133,Hemadri Cements Limited,HEMACEM,INE07BK01011
502137,Deccan Cements Ltd.,DECCANCE,INE583C01021
502157,Mangalam Cement Ltd.,MANGLMCEM,INE347A01017
502168,NCL Industries Limited,NCLIND,INE732C01016
502175,Saurashtra Cement Limited,SAURASHCEM,INE626A01014
502180,Shree Digvijay Cement Co. Ltd.,SHREDIGCEM,INE232A01011
502219,BOROSIL RENEWABLES LIMITED,BORORENEW,INE666D01022
502250,LERTHAI FINANCE LIMITED,LERTHAI,INE347D01011
502281,Triveni Glass Ltd.,TRIVENIGQ,INE094C01011
502294,Nilachal Refractories Ltd.,NILACHAL,INE416N01013
502330,ANDHRA PAPER LIMITED,ANDHRAPAP,INE435A01028
502355,Balkrishna Industries Ltd.,BALKRISIND,INE787D01026
502420,Orient Paper & Industries Ltd.,ORIENTPPR,INE592A01026
502445,Citadel Realty And Developers Limited,CITADEL,INE906D01014
502448,Rollatainters Ltd.,ROLLT,INE927A01040
502450,Seshasayee Paper & Boards Ltd.,SESHAPAPER,INE630A01024
502587,NATH INDUSTRIES LIMITED,NATHIND,INE777A01023
502589,VAPI ENTERPRISE LIMITED,VAPIENTER,INE464D01014
502820,DCM Ltd.,DCM,INE498A01018
502865,Forbes & Company Ltd,FORBESCO,INE518A01013
502873,H.P. Cotton Textile Mills Ltd.,HPCOTTON,INE950C01014
502893,United Interactive Limited,UNITEDINT,INE706D01018
502901,JAMSHRI REALTY LIMITED,JAMSHRI,INE462D01026
502933,Katare Spinning Mills Ltd.,KATRSPG,INE498G01015
502937,Kesoram Industries Ltd,KESORAMIND,INE087A01019
502958,Lakshmi Mills Company ltd,LAKSHMIMIL,INE938C01019
502986,Vardhman Textiles Limted,VTL,INE825A01020
503031,Peninsula Land Limited,PENINLAND,INE138A01028
503092,Pasupati Spg. & Wvg. Mills Ltd.,PASUSPG,INE909B01020
503100,The Phoenix Mills Ltd.,PHOENIXLTD,INE211B01039
503101,Marathon Nextgen Realty Ltd,MARATHON,INE182D01020
503127,Raja Bahadur International Ltd,RAJABAH,INE491N01016
503162,Reliance Chemotex Industries Ltd.,RELCHEMQ,INE750D01016
503169,Ruby Mills Ltd.,RUBYMILLS,INE301D01026
503229,Simplex Realty Limited,SIMPLXREA,INE167H01014
503310,Swan Energy Ltd.,SWANENERGY,INE665A01038
503349,Victoria Mills Ltd.,VICTMILL,INE203D01016
503624,Svaraj Trading & Agencies Ltd.,ZSVARAJT,INE406N01014
503641,Zodiac Ventures Limited,ZODIACVEN,INE945J01027
503657,Veer Energy & Infrastructure Limited,VEERENRGY,INE255E01030
503659,SW Investments Limited,SW1,INE948K01011
503663,Tilak Ventures Limited,TILAK,INE026L01022
503669,K K Fincorp Limited,KKFIN,INE509J01013
503675,Wagend Infra Venture Limited,WAGEND,INE786K01023
503685,Mediaone Global Entertainment Limited,MEDIAONE,INE828I01019
503722,Banswara Syntex Ltd.,BANSWRAS,INE629D01020
503772,Modella Woollens Ltd.,MODWOOL,INE380D01012
503776,Modipon Ltd.,MODIPON,INE170C01019
503804,Shri Dinesh Mills Ltd.,SHRIDINE,INE204C01024
503806,SRF Ltd.,SRF,INE647A01010
503811,Siyaram Silk Mills Ltd.,SIYSIL,INE076B01028
503816,Swadeshi Polytex Ltd.,SWADPOL,INE243N01029
503960,Bharat Bijlee Ltd.,BBL,INE464A01036
